filename,bucket,grade_semester,renjiao_hint,safety,beishida_unit,confidence,rule_id,audit_note,chars
7242067399757827365.md,keep,4下,内容审查→4下（得分5·小数簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",576
7242437692967898423.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",828
7242809575831784742.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '4shang': 3}",959
7243180488888683814.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",539
7243551297109003577.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 1, '6shang': 1}",358
7243920464320499004.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '1shang': 0, '1xia': 0}",949
7244664619137125688.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",545
7245035477999373623.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",674
7245186328894246201.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",170
7245407083112271116.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",742
7245777932587748663.md,keep,4上,内容审查→4上（得分9·小数簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 9, '4xia': 5, '6shang': 1}",620
7246146410943401220.md,keep,4下,内容审查→4下（得分4·方程/倒推簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'4xia': 4, '6shang': 1, '1shang': 0}",866
7246519813252648204.md,keep,4上,内容审查→4上（得分5·图形/鸡兔簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '4xia': 5, '1shang': 0}",987
7246891296399347003.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",358
7247632799857970435.md,keep,4上,内容审查→4上（得分5·小数簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '4xia': 5, '1shang': 0}",706
7248374940410383653.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'1shang': 1, '2xia': 1, '5shang': 1}",1695
7248641773931711803.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",199
7248746184561544485.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1097
7248775178954493244.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",661
7249118042716638475.md,keep,4下,内容审查→4下（得分10·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 10, '4shang': 3, '1shang': 0}",948
7249606573490818365.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",447
7249860194774060344.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",846
7250602400552062246.md,keep,4上,内容审查→4上（得分3）,绿,,medium,content-audit-douyin,"top_scores={'4shang': 3, '1shang': 0, '1xia': 0}",500
7250972338022337853.md,keep,4下,内容审查→4下（得分5·小数簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",621
7251344098009877820.md,keep,4上,内容审查→4上（得分1）,绿,,low,content-audit-douyin,"top_scores={'4shang': 1, '1shang': 0, '1xia': 0}",1089
7251850766510525708.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '1shang': 0, '1xia': 0}",1031
7252086118403804474.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",516
7252486034875895101.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '4shang': 3, '6shang': 1}",531
7252599489704365368.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",642
7252828548703096121.md,keep,4上,内容审查→4上（得分3）,绿,,medium,content-audit-douyin,"top_scores={'4shang': 3, '1shang': 0, '1xia': 0}",613
7253199126425259319.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",516
7253570645135543590.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",537
7253941236887784707.md,keep,5上,人教五上·植树/间隔（北师大4上无此课）,红,,high,hard-5shang-jianshu,,1046
7254312581379132710.md,keep,4上,内容审查→4上（得分3）,绿,,medium,content-audit-douyin,"top_scores={'4shang': 3, '1shang': 0, '1xia': 0}",574
7254786536141491459.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '4shang': 3}",560
7255054847790157068.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",864
7255426432413863226.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",668
7255797169389669695.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '1shang': 0, '1xia': 0}",533
7256167683035614523.md,keep,4下,内容审查→4下（得分5·方程/倒推簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",642
7256538795070246200.md,keep,2下,内容审查→2下（得分1）,绿,,low,content-audit-douyin,"top_scores={'2xia': 1, '6shang': 1, '1shang': 0}",696
7256909827492908344.md,keep,4上,内容审查→4上（得分3）,绿,,medium,content-audit-douyin,"top_scores={'4shang': 3, '1shang': 0, '1xia': 0}",745
7257281274346278202.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",630
7257652499379752249.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2xia': 1, '5shang': 1, '1shang': 0}",606
7258023610101583115.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",715
7258393015784361277.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '4shang': 5, '1shang': 0}",728
7258765861387832635.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '2xia': 1}",611
7259508413552430392.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",580
7259878682230115647.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",695
7260250517807451448.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",572
7260621625547115817.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",793
7260992742577179959.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",830
7261363341120113978.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",529
7261733946566708536.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",403
7262477007336869176.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",798
7262848032717294908.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",926
7263250820236381479.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",514
7263679502553861415.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",719
7264021769684569356.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",634
7264330707869207868.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",734
7264703232042192165.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",693
7265475808926403900.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 1, '6shang': 1}",749
7266250439492947237.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",902
7266558420273188153.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",930
7266929958289771813.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",1177
7267018049663012133.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '4xia': 5, '2xia': 1}",474
7267354136419634493.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '4shang': 3, '6shang': 1}",725
7267672177892216123.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",557
7267787886349651261.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '1shang': 0, '1xia': 0}",579
7268043429983096127.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",738
7268413941187972411.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",726
7271176585519189285.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",514
7271832743053413690.md,keep,4上,内容审查→4上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 5, '1shang': 0}",765
7272125274324503865.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",453
7272496421633297676.md,keep,4下,内容审查→4下（得分5·五上计算簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '5shang': 5, '1shang': 0}",738
7272867088098708773.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '6shang': 1, '1shang': 0}",525
7273238599825476922.md,keep,4上,内容审查→4上（得分5·图形/鸡兔簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '4xia': 5, '2shang': 1}",450
7273609409211698488.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '5shang': 1, '6shang': 1}",821
7273804473183554875.md,keep,4上,内容审查→4上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '6shang': 5, '1shang': 0}",1190
7274050391086468411.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '1shang': 0}",679
7274374355369348389.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",747
7274811847591726373.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",989
7275168073139752251.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",940
7275350820055567675.md,keep,4下,内容审查→4下（得分5·方程/倒推簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",588
7275543359320575287.md,keep,4下,内容审查→4下（得分5·方程/倒推簇）,黄,四下综合,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 1, '1shang': 0}",1002
7275682172839775543.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",645
7275909890361675066.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",1110
7276024601522621756.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",417
7276337871462616374.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",765
7276342649819385107.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",490
7276699103138958631.md,keep,2上,内容审查→2上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2shang': 1, '1shang': 0, '1xia': 0}",601
7277439079669566781.md,keep,5上,内容审查→5上（得分5·五上计算簇）,绿,,high,content-audit-douyin,"top_scores={'5shang': 5, '1shang': 0, '1xia': 0}",668
7277506040621567293.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",792
7277778539385031997.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1034
7277916854335606071.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",400
7278122840417783100.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",928
7278193888010030373.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",819
7278241505557417273.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",937
7278508499745787194.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '6shang': 1, '1shang': 0}",1461
7278511100654570811.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",404
7278613635792932157.md,keep,3下,内容审查→3下（得分5·三下簇）,绿,,high,content-audit-douyin,"top_scores={'3xia': 5, '6shang': 1, '1shang': 0}",1552
7278881689630248211.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '6shang': 1, '1shang': 0}",892
7278923702799043877.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1117
7278958212890643773.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '1shang': 0, '1xia': 0}",261
7279017679074364731.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",2159
7279205992313736467.md,keep,4下,内容审查→4下（得分5·六上簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '6shang': 5, '1shang': 0}",815
7279547053171051834.md,keep,2上,内容审查→2上（得分1）,绿,,low,content-audit-douyin,"top_scores={'2shang': 1, '1shang': 0, '1xia': 0}",366
7279639737688657212.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",810
7279962769967811899.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1006
7280009408103337272.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1409
7280072006610079032.md,keep,4上,内容审查→4上（得分5·线与角簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '1shang': 0, '1xia': 0}",1204
7280364133856415039.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '6shang': 1, '1shang': 0}",645
7280404910305332537.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",867
7280521519816576319.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",876
7280734016658017596.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '1shang': 0, '1xia': 0}",994
7280744260830268729.md,keep,4上,内容审查→4上（得分5·运算/除法簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",479
7280845754929843467.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",748
7281039462174346559.md,keep,4下,内容审查→4下（得分9·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 9, '5shang': 1, '1shang': 0}",836
7281107433974484261.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1108
7281111901038234919.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",1472
7281147872924454202.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1187
7281484331657268539.md,keep,4下,内容审查→4下（得分5·方程/倒推簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'4xia': 5, '2xia': 1, '6shang': 1}",1351
7281492820312100151.md,keep,4下,内容审查→4下（得分4·方程/倒推簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'4xia': 4, '3shang': 1, '5shang': 1}",1313
7281523270124391739.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",1368
7281584162379713853.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '1shang': 0, '1xia': 0}",823
7281780974067748152.md,keep,4下,内容审查→4下（得分5·图形/鸡兔簇）,黄,二_认识三角形和四边形,high,content-audit-douyin,"top_scores={'4xia': 5, '1shang': 0, '1xia': 0}",711
7282209628182580521.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '5shang': 1, '1shang': 0}",1393
7282605904535620922.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",1130
7282642828889427219.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",539
7282784239987264807.md,keep,3下,内容审查→3下（得分5·三下簇）,绿,,high,content-audit-douyin,"top_scores={'3xia': 5, '6shang': 1, '1shang': 0}",1006
7282966607876345147.md,keep,3上,内容审查→3上（得分2）,绿,,medium,content-audit-douyin,"top_scores={'3shang': 2, '6shang': 1, '1shang': 0}",1105
7282975418620103947.md,keep,3上,内容审查→3上（得分2）,绿,,medium,content-audit-douyin,"top_scores={'3shang': 2, '6shang': 1, '1shang': 0}",773
7283137647088766245.md,keep,6上,内容审查→6上（得分5·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 5, '2xia': 1, '3shang': 1}",2044
7283492756637404471.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '1shang': 0, '1xia': 0}",1230
7283712071089278245.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '1shang': 0, '1xia': 0}",1242
7284074036781468940.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",1028
7285230810834193723.md,keep,3上,内容审查→3上（得分2）,绿,,medium,content-audit-douyin,"top_scores={'3shang': 2, '6shang': 1, '1shang': 0}",773
7285683219335302419.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",565
7287042747503070525.md,keep,3上,内容审查→3上（得分2）,绿,,medium,content-audit-douyin,"top_scores={'3shang': 2, '1shang': 0, '1xia': 0}",507
7287052735076207908.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",456
7287206232140664127.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",741
7287422205099642172.md,keep,3上,内容审查→3上（得分2）,绿,,medium,content-audit-douyin,"top_scores={'3shang': 2, '6shang': 1, '1shang': 0}",1037
7287448448524193065.md,keep,4下,内容审查→4下（得分4·方程/倒推簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'4xia': 4, '3shang': 2, '6shang': 1}",1288
7287537415626001700.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",579
7287859093014842660.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 2, '6shang': 1}",779
7287929593686691127.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1128
7287965007206255926.md,keep,3上,内容审查→3上（得分1）,绿,,low,content-audit-douyin,"top_scores={'3shang': 1, '6shang': 1, '1shang': 0}",1199
7288164650565274935.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1714
7288288535004695867.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1768
7288332153916624185.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 2, '6shang': 1}",850
7288537372449328444.md,keep,3上,内容审查→3上（得分5·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 5, '3xia': 2, '6shang': 1}",1317
7288564528420228407.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 1, '1shang': 0}",2331
7288638576181464378.md,keep,5上,内容审查→5上（得分1）,绿,,low,content-audit-douyin,"top_scores={'5shang': 1, '6shang': 1, '1shang': 0}",1174
7288906594505608487.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",2052
7288932305832365371.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",994
7289276682903604491.md,keep,6上,内容审查→6上（得分6·六上簇）,绿,,high,content-audit-douyin,"top_scores={'6shang': 6, '1shang': 0, '1xia': 0}",1902
7289566042790186295.md,keep,4上,内容审查→4上（得分5·运算/除法簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 5, '6shang': 1, '1shang': 0}",2119
7289960246687124797.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 2, '6shang': 1}",758
7290308095346019644.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1162
7290679529423572261.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1243
7291050231481830675.md,keep,3上,内容审查→3上（得分4·三上簇）,绿,,high,content-audit-douyin,"top_scores={'3shang': 4, '3xia': 2, '6shang': 1}",1133
7291230904763059515.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '5shang': 1, '1shang': 0}",1198
7291421467722419517.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '1shang': 0, '1xia': 0}",632
7291530260347227446.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '6shang': 1, '1shang': 0}",1731
7291800361021541682.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1045
7292171342982532378.md,keep,4上,内容审查→4上（得分6·大数/数位簇）,绿,,high,content-audit-douyin,"top_scores={'4shang': 6, '6shang': 1, '1shang': 0}",1299
7292609382481759539.md,keep,6上,内容审查→6上（得分1）,绿,,low,content-audit-douyin,"top_scores={'6shang': 1, '1shang': 0, '1xia': 0}",1126
7293495735532703002.md,keep,4下,内容审查→4下（得分4·三上簇）,红,五_认识方程,high,content-audit-douyin,"top_scores={'3shang': 4, '4xia': 4, '3xia': 1}",1322
7293656249386667273.md,keep,4上,内容审查→4上（得分1·默认4上）,绿,,low,content-audit-douyin,"top_scores={'1shang': 0, '1xia': 0, '2shang': 0}",1416
